TAG	TEXT	COMMENT
MAIN_MENU_CREDITS	Crèdits
MAIN_MENU_EXIT	Sortir
MAIN_MENU_MAIN_MENU	Menú Principal
MAIN_MENU_OPTIONS	Opcions
MAIN_MENU_PAUSE	Pausa
MAIN_MENU_RESTART	Reiniciar
MAIN_MENU_SELECT_LEVEL	Seleccionar Nivell
MAIN_MENU_NEXT_LEVEL	Següent Nivell
MENU_OPTIONS_GRAPHICS	Gràfics
MENU_OPTIONS_VR	Realitat Virtual
MENU_OPTIONS_SOUND	So
MENU_OPTIONS_LANGUAGE	Idiomes
MENU_OPTIONS_LANGUAGES_CATALAN	Català
MENU_OPTIONS_LANGUAGES_ENGLISH	Anglès
MENU_OPTIONS_LANGUAGES_SPANISH	Castellà
MENU_OPTIONS_VR_RECENTER	Centrar
MENU_OPTIONS_VR_MODE	Mode
MENU_OPTIONS_VR_DISTORTION_CORRECTION	Correcció de la Distorció
MENU_OPTIONS_SOUND_VOLUME_FX	Volum dels Efectes de So
MENU_OPTIONS_SOUND_VOLUME_MUSIC	Volum de la Música
MENU_OPTIONS_LANGUAGES_GERMAN	Alemany
