TAG	TEXT	COMMENT
MAIN_MENU_CREDITS	Credits
MAIN_MENU_EXIT	Exit
MAIN_MENU_MAIN_MENU	Main Menu
MAIN_MENU_OPTIONS	Options
MAIN_MENU_PAUSE	Pause
MAIN_MENU_RESTART	Restart
MAIN_MENU_SELECT_LEVEL	Select Level
MAIN_MENU_NEXT_LEVEL	Next Level
MENU_OPTIONS_GRAPHICS	Graphics
MENU_OPTIONS_VR	Virtual Reality
MENU_OPTIONS_SOUND	Sound
MENU_OPTIONS_LANGUAGE	Language
MENU_OPTIONS_LANGUAGES_CATALAN	Catalan
MENU_OPTIONS_LANGUAGES_ENGLISH	English
MENU_OPTIONS_LANGUAGES_SPANISH	Spanish
MENU_OPTIONS_VR_RECENTER	Recenter
MENU_OPTIONS_VR_MODE	Mode
MENU_OPTIONS_VR_DISTORTION_CORRECTION	Distortion Correction
