TAG	TEXT	COMMENT
MAIN_MENU_CREDITS	Kredite
MAIN_MENU_EXIT	Exit
MAIN_MENU_MAIN_MENU	Hauptmenü
MAIN_MENU_OPTIONS	Optionen
MAIN_MENU_PAUSE	Pause
MAIN_MENU_RESTART	Neustart
MAIN_MENU_SELECT_LEVEL	Stufe Auswählen
MAIN_MENU_NEXT_LEVEL	Nächste Stufe
MENU_OPTIONS_GRAPHICS	Grafik
MENU_OPTIONS_LANGUAGE	Sprache
MENU_OPTIONS_LANGUAGES_CATALAN	Katalanisch
MENU_OPTIONS_LANGUAGES_ENGLISH	Englisch
MENU_OPTIONS_LANGUAGES_SPANISH	Spanisch
MENU_OPTIONS_LANGUAGES_GERMAN	Deutsch
MENU_OPTIONS_SOUND	Sound
MENU_OPTIONS_SOUND_VOLUME_FX	Lautstärke
MENU_OPTIONS_SOUND_VOLUME_MUSIC	Musiklautstärke
MENU_OPTIONS_VR	Virtuelle Realität
MENU_OPTIONS_VR_DISTORTION_CORRECTION	Verzerrungskorrektur
MENU_OPTIONS_VR_MODE	Modus
MENU_OPTIONS_VR_RECENTER	Recenter
