TAG	TEXT	COMMENT
MAIN_MENU_CREDITS	Creditos
MAIN_MENU_EXIT	Salir
MAIN_MENU_MAIN_MENU	Menú Principal
MAIN_MENU_OPTIONS	Opciones
MAIN_MENU_PAUSE	Pausa
MAIN_MENU_RESTART	Reiniciar
MAIN_MENU_SELECT_LEVEL	Escoger Nivel
MENU_OPTIONS_GRAPHICS	Gráficos
MENU_OPTIONS_VR	Realidad Virtual
MENU_OPTIONS_SOUND	Sonido
MENU_OPTIONS_LANGUAGE	Idioma
MENU_OPTIONS_LANGUAGES_CATALAN	Catalán
MENU_OPTIONS_LANGUAGES_ENGLISH	Inglés
MENU_OPTIONS_LANGUAGES_SPANISH	Castellano
MENU_OPTIONS_VR_RECENTER	Centrar
MENU_OPTIONS_VR_MODE	Modo
MENU_OPTIONS_VR_DISTORTION_CORRECTION	Corrección de la Distorción
